destination_master_id,enrichment_version,enrichment_pass_date,enrichment_method,origin_fit_ccu,origin_fit_ccu_basis,origin_fit_ccu_confidence,origin_fit_ixr,origin_fit_ixr_basis,origin_fit_ixr_confidence,infant_suitability_score,infant_suitability_band,family_suitability_band,senior_suitability_band,couple_suitability_band,suitability_basis,travel_fatigue_band,travel_fatigue_drivers,transfer_complexity_hint,planning_complexity_band,planning_complexity_drivers,permit_or_visa_hint,medical_access_confidence,medical_access_basis,pediatric_access_confidence,season_window,monsoon_caution,heat_caution,winter_road_caution,altitude_caution,weather_basis,resort_family_density,accommodation_breadth,derived_access_complexity,derived_caution_tags,verification_status,planner_use_status,source_confidence,enrichment_notes
DST2-000001,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,metro/major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000002,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,70,medium,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000003,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000004,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,60,medium,medium,medium,medium,access=moderate; medical=high; cautions=heat,medium,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000005,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,60,medium,medium,medium,medium,access=moderate; medical=high; cautions=heat,medium,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000006,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Nov-Feb (verify_current_year),none,avoid,none,none,heat:avoid,unknown,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000007,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,35,low_medium,medium,medium,low_medium,"access=moderate; medical=medium; cautions=crowd,heat",medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,crowd_check;heat_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000008,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,15,low,medium,medium,medium,"access=moderate; medical=low; cautions=heat,infant_food_access",medium,,simple,medium,seasonal_closure;booking_lead_time,,low,remote/small-settlement tier; medical access limited,low,Oct-Jun (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,heat_check;infant_food_access_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000009,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,70,medium,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000010,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000011,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Oct-Dec (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
