destination_id,name,country,macro_region,state_or_area,location_type,vibe_1,vibe_2,vibe_3,budget_band,family_suitability,access_complexity,best_season_hint,verification_status
DST-0001,Delhi NCR,India,North India,Delhi NCR,metro_city,culture,food,history,mid,medium,easy,Oct-Mar,seed_unverified
DST-0002,Agra,India,North India,Uttar Pradesh,heritage_city,heritage,architecture,history,budget_mid,medium,easy,Oct-Mar,seed_unverified
DST-0003,Jaipur,India,North India,Rajasthan,heritage_city,heritage,palace,shopping,mid,high,easy,Oct-Mar,seed_unverified
DST-0004,Udaipur,India,North India,Rajasthan,lake_heritage_city,lakes,heritage,luxury,mid_premium,high,moderate,Oct-Mar,seed_unverified
DST-0005,Jodhpur,India,North India,Rajasthan,heritage_city,forts,desert,heritage,mid,medium,moderate,Oct-Mar,seed_unverified
DST-0006,Jaisalmer,India,North India,Rajasthan,desert_town,desert,heritage,adventure,mid,medium,moderate,Nov-Feb,seed_unverified
DST-0007,Pushkar,India,North India,Rajasthan,pilgrim_town,spiritual,culture,slow_travel,budget_mid,medium,moderate,Oct-Mar,seed_unverified
DST-0008,Ranthambore,India,North India,Rajasthan,wildlife_reserve,wildlife,safari,nature,premium,medium,moderate,Oct-Jun,seed_unverified
DST-0009,Amritsar,India,North India,Punjab,heritage_city,spiritual,food,history,budget_mid,high,easy,Oct-Mar,seed_unverified
DST-0010,Chandigarh,India,North India,Chandigarh,planned_city,urban,architecture,gateway,mid,high,easy,Oct-Mar,seed_unverified
DST-0011,Shimla,India,North India,Himachal Pradesh,hill_station,hills,family,colonial,mid,high,moderate,Mar-Jun;Oct-Dec,seed_unverified
DST-0012,Manali,India,North India,Himachal Pradesh,hill_station,hills,adventure,snow,mid,medium,moderate,Mar-Jun;Oct-Feb,seed_unverified
DST-0013,Dharamshala,India,North India,Himachal Pradesh,hill_town,hills,culture,wellness,mid,medium,moderate,Mar-Jun;Sep-Nov,seed_unverified
DST-0014,Dalhousie,India,North India,Himachal Pradesh,hill_station,hills,family,slow_travel,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified
DST-0015,Leh,India,North India,Ladakh,high_altitude,mountains,adventure,landscape,mid_premium,low,hard,Jun-Sep,seed_unverified
DST-0016,Srinagar,India,North India,Jammu and Kashmir,lake_valley,lakes,mountains,gardens,mid_premium,medium,moderate,Apr-Oct,seed_unverified
DST-0017,Gulmarg,India,North India,Jammu and Kashmir,mountain_resort,snow,mountains,ski,premium,medium,moderate,Dec-Mar;Apr-Jun,seed_unverified
DST-0018,Rishikesh,India,North India,Uttarakhand,river_spiritual_town,spiritual,wellness,adventure,budget_mid,medium,moderate,Oct-Apr,seed_unverified
DST-0019,Haridwar,India,North India,Uttarakhand,pilgrim_city,spiritual,culture,pilgrimage,budget,medium,easy,Oct-Mar,seed_unverified
DST-0020,Mussoorie,India,North India,Uttarakhand,hill_station,hills,family,slow_travel,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified
DST-0021,Nainital,India,North India,Uttarakhand,lake_hill_station,lakes,hills,family,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified
DST-0022,Jim Corbett,India,North India,Uttarakhand,wildlife_reserve,wildlife,nature,family,mid_premium,medium,moderate,Nov-Jun,seed_unverified
DST-0023,Varanasi,India,North India,Uttar Pradesh,spiritual_city,spiritual,culture,history,budget_mid,low_medium,easy,Oct-Mar,seed_unverified
DST-0024,Lucknow,India,North India,Uttar Pradesh,heritage_city,food,heritage,culture,budget_mid,high,easy,Oct-Mar,seed_unverified
DST-0025,Bhopal,India,Central India,Madhya Pradesh,lake_city,lakes,history,gateway,budget_mid,high,easy,Oct-Mar,seed_unverified
DST-0026,Sanchi,India,Central India,Madhya Pradesh,heritage_site,buddhist,heritage,history,budget_mid,medium,moderate,Oct-Mar,seed_unverified
DST-0027,Khajuraho,India,Central India,Madhya Pradesh,heritage_town,heritage,architecture,temples,mid,medium,moderate,Oct-Mar,seed_unverified
DST-0028,Orchha,India,Central India,Madhya Pradesh,heritage_town,heritage,slow_travel,river,budget_mid,medium,moderate,Oct-Mar,seed_unverified
DST-0029,Pachmarhi,India,Central India,Madhya Pradesh,hill_station,hills,nature,family,mid,high,moderate,Oct-Mar,seed_unverified
DST-0030,Kanha,India,Central India,Madhya Pradesh,wildlife_reserve,wildlife,safari,nature,premium,medium,hard,Oct-Jun,seed_unverified
