rank_v1,option_id,destination,experience_tier,estimated_cost_inr,flight_hours,layovers,visa_complexity,infant_friendliness_score,comfort_score,weather_risk_score,novelty_score,planning_confidence_score,travel_fatigue_score,risk_adjusted_comfort_score,cost_score,visa_score,confidence_score,weighted_score,penalty_points,penalty_reasons,recommendation_score_v1,notes
1,TRIP-014,Goa,comfort,198400,2.2,0,easy,92,71,30,44,88,86.8,80.2,99.3,100.0,88.0,84.48,0,,84.48,good backup option
2,TRIP-008,Phuket,comfort,266997,4.7,0,easy,84,66,24,91,87,71.8,76.1,89.9,100.0,87.0,82.97,0,,82.97,strong resort availability
3,TRIP-012,Kuala Lumpur,comfort,224900,4.1,0,easy,79,69,28,60,86,75.4,74.1,95.7,100.0,86.0,81.05,0,,81.05,good backup option
4,TRIP-002,Singapore,comfort,388496,2.3,0,easy,59,82,13,70,94,86.2,72.6,73.4,100.0,94.0,80.1,0,,80.1,shortlisted for family comfort
5,TRIP-019,Dubai,comfort,359760,4.3,0,easy,73,84,20,70,85,74.2,78.2,77.3,100.0,85.0,79.26,0,,79.26,premium option with low friction
6,TRIP-021,Sri Lanka,high_quality,367875,3.8,0,easy,83,74,55,72,80,77.2,72.2,76.2,100.0,80.0,77.54,0,,77.54,weather needs checking
7,TRIP-023,Langkawi,comfort,302150,5.2,1,easy,80,77,37,73,82,56.8,75.6,85.2,100.0,82.0,76.58,0,,76.58,strong resort availability
8,TRIP-024,Andaman,comfort,286600,3.1,0,moderate,91,70,44,65,75,81.4,76.6,87.3,70.0,75.0,77.72,3,visa_friction,74.72,higher transit fatigue
9,TRIP-017,Phuket,high_quality,451440,5.8,1,easy,86,82,35,76,81,53.2,80.4,64.9,100.0,81.0,73.44,0,,73.44,shortlisted for family comfort
10,TRIP-018,Singapore,premium,701820,2.6,0,easy,95,93,22,63,92,84.4,90.9,30.8,100.0,92.0,75.81,3,high_cost,72.81,good food and logistics
11,TRIP-001,Vietnam,comfort,193112,9.8,0,easy,58,97,23,78,55,41.2,75.4,100.0,100.0,55.0,74.16,5,high_fatigue,69.16,shortlisted for family comfort
12,TRIP-004,Bali,comfort,308393,9.3,0,easy,93,71,29,62,71,44.2,80.9,84.3,100.0,71.0,73.27,5,high_fatigue,68.27,budget pressure visible
13,TRIP-011,Langkawi,high_quality,573804,5.6,1,easy,77,73,41,80,71,54.4,72.0,48.2,100.0,71.0,67.22,0,,67.22,good food and logistics
14,TRIP-015,Maldives,high_quality,685125,7.5,1,moderate,81,96,39,83,79,43.0,82.2,33.1,70.0,79.0,63.08,3,visa_friction,60.08,strong resort availability
15,TRIP-003,Vietnam,comfort,521425,9.4,0,easy,82,67,29,48,63,43.6,74.6,55.3,100.0,63.0,63.26,5,high_fatigue,58.26,good backup option
16,TRIP-010,Dubai,premium,753980,6.8,1,moderate,62,91,33,84,78,47.2,73.2,23.7,70.0,78.0,59.34,6,high_cost;visa_friction,53.34,premium option with low friction
17,TRIP-022,Vietnam,high_quality,529470,8.9,1,moderate,64,79,58,94,67,34.6,64.9,54.2,70.0,67.0,60.33,12,high_fatigue;visa_friction;weather_risk,48.33,budget pressure visible
18,TRIP-016,Bali,high_quality,612900,8.6,1,moderate,70,88,61,91,73,36.4,70.1,42.9,70.0,73.0,60.29,12,high_fatigue;visa_friction;weather_risk,48.29,weather needs checking
19,TRIP-006,Dubai,high_quality,493420,11.6,1,easy,68,55,68,59,56,18.4,56.2,59.1,100.0,56.0,53.86,9,high_fatigue;weather_risk,44.86,shortlisted for family comfort
20,TRIP-007,Maldives,premium,816210,8.8,1,easy,75,90,63,49,64,35.2,72.6,15.2,100.0,64.0,53.16,12,high_cost;high_fatigue;weather_risk,41.16,premium option with low friction
21,TRIP-020,Mauritius,premium,928260,11.2,1,moderate,78,94,46,87,76,20.8,78.8,0.0,70.0,76.0,51.1,11,high_cost;high_fatigue;visa_friction,40.1,premium option with low friction
