destination_master_id,canonical_name,country,state_or_area,reason
DST2-000002,Agra,India,Uttar Pradesh,all four suitability bands identical (heuristic flattening risk)
DST2-000004,Udaipur,India,Rajasthan,all four suitability bands identical (heuristic flattening risk)
DST2-000005,Jodhpur,India,Rajasthan,all four suitability bands identical (heuristic flattening risk)
DST2-000006,Jaisalmer,India,Rajasthan,infant_score=45 at low_medium/medium boundary
DST2-000009,Amritsar,India,Punjab,all four suitability bands identical (heuristic flattening risk)
DST2-000011,Shimla,India,Himachal Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000012,Manali,India,Himachal Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000013,Dharamshala,India,Himachal Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000014,Dalhousie,India,Himachal Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000020,Mussoorie,India,Uttarakhand,infant_score=45 at low_medium/medium boundary
DST2-000021,Nainital,India,Uttarakhand,infant_score=45 at low_medium/medium boundary
DST2-000024,Lucknow,India,Uttar Pradesh,all four suitability bands identical (heuristic flattening risk)
DST2-000025,Bhopal,India,Madhya Pradesh,all four suitability bands identical (heuristic flattening risk)
DST2-000027,Khajuraho,India,Madhya Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000029,Pachmarhi,India,Madhya Pradesh,infant_score=45 at low_medium/medium boundary
DST2-000034,Lonavala,India,Maharashtra,all four suitability bands identical (heuristic flattening risk)
DST2-000035,Mahabaleshwar,India,Maharashtra,infant_score=45 at low_medium/medium boundary
DST2-000037,Aurangabad,India,Maharashtra,infant_score=45 at low_medium/medium boundary
DST2-000038,Goa,India,Goa,infant_score=55 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000040,Ahmedabad,India,Gujarat,all four suitability bands identical (heuristic flattening risk)
DST2-000041,Kutch,India,Gujarat,infant_score=45 at low_medium/medium boundary
DST2-000046,Coorg,India,Karnataka,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000047,Chikmagalur,India,Karnataka,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000049,Gokarna,India,Karnataka,infant_score=45 at low_medium/medium boundary
DST2-000052,Pondicherry,India,Puducherry,all four suitability bands identical (heuristic flattening risk)
DST2-000053,Mahabalipuram,India,Tamil Nadu,all four suitability bands identical (heuristic flattening risk)
DST2-000055,Kodaikanal,India,Tamil Nadu,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000056,Ooty,India,Tamil Nadu,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000059,Munnar,India,Kerala,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000060,Alleppey,India,Kerala,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000061,Kumarakom,India,Kerala,infant_score=50 at low_medium/medium boundary
DST2-000063,Varkala,India,Kerala,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000066,Araku Valley,India,Andhra Pradesh,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000069,Konark,India,Odisha,infant_score=45 at low_medium/medium boundary
DST2-000071,Darjeeling,India,West Bengal,infant_score=55 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000072,Kalimpong,India,West Bengal,infant_score=55 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000075,Pelling,India,Sikkim,infant_score=45 at low_medium/medium boundary
DST2-000078,Shillong,India,Meghalaya,all four suitability bands identical (heuristic flattening risk)
DST2-000079,Cherrapunji,India,Meghalaya,infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000083,Imphal,India,Manipur,infant_score=45 at low_medium/medium boundary
DST2-000085,Agartala,India,Tripura,all four suitability bands identical (heuristic flattening risk)
DST2-000090,Kathmandu,Nepal,Nepal,all four suitability bands identical (heuristic flattening risk)
DST2-000091,Pokhara,Nepal,Nepal,infant_score=55 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk)
DST2-000092,Chitwan,Nepal,Nepal,infant_score=45 at low_medium/medium boundary
