destination_master_id,source_layer,source_id,source_file,canonical_name,alias_names,country,macro_region,state_or_area,district_or_area,destination_scale,location_type,vibe_1,vibe_2,vibe_3,trip_style_tags,context_tags,caution_tags,budget_band,family_suitability,access_complexity,best_season_hint,verification_status,promotion_status,planner_use_status,source_confidence,source_notes,normalisation_notes,master_notes
DST2-000001,seed,DST-0001,datasets/reference/india_region_destinations_seed.csv,Delhi NCR,,India,North India,Delhi NCR,,city,metro_city,culture,food,history,,,,mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000002,seed,DST-0002,datasets/reference/india_region_destinations_seed.csv,Agra,,India,North India,Uttar Pradesh,,city,heritage_city,heritage,architecture,history,,,,budget_mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000003,seed,DST-0003,datasets/reference/india_region_destinations_seed.csv,Jaipur,,India,North India,Rajasthan,,city,heritage_city,heritage,palace,shopping,,,,mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000004,seed,DST-0004,datasets/reference/india_region_destinations_seed.csv,Udaipur,,India,North India,Rajasthan,,city,lake_heritage_city,lakes,heritage,luxury,,,,mid_premium,high,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000005,seed,DST-0005,datasets/reference/india_region_destinations_seed.csv,Jodhpur,,India,North India,Rajasthan,,city,heritage_city,forts,desert,heritage,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000006,seed,DST-0006,datasets/reference/india_region_destinations_seed.csv,Jaisalmer,,India,North India,Rajasthan,,town,desert_town,desert,heritage,adventure,,,,mid,medium,moderate,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000007,seed,DST-0007,datasets/reference/india_region_destinations_seed.csv,Pushkar,,India,North India,Rajasthan,,town,pilgrim_town,spiritual,culture,slow_travel,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000008,seed,DST-0008,datasets/reference/india_region_destinations_seed.csv,Ranthambore,,India,North India,Rajasthan,,park,wildlife_reserve,wildlife,safari,nature,,,,premium,medium,moderate,Oct-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000009,seed,DST-0009,datasets/reference/india_region_destinations_seed.csv,Amritsar,,India,North India,Punjab,,city,heritage_city,spiritual,food,history,,,,budget_mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000010,seed,DST-0010,datasets/reference/india_region_destinations_seed.csv,Chandigarh,,India,North India,Chandigarh,,city,planned_city,urban,architecture,gateway,,,,mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
