destination_master_id,canonical_name,country,state_or_area,reason
DST2-000006,Jaisalmer,India,Rajasthan,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000007,Pushkar,India,Rajasthan,infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000008,Ranthambore,India,Rajasthan,infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000011,Shimla,India,Himachal Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000012,Manali,India,Himachal Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000013,Dharamshala,India,Himachal Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000014,Dalhousie,India,Himachal Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000015,Leh,India,Ladakh,infant_score=25 requires medical-access verification before treating as decision-grade
DST2-000016,Srinagar,India,Jammu and Kashmir,infant_score=30 requires medical-access verification before treating as decision-grade
DST2-000017,Gulmarg,India,Jammu and Kashmir,infant_score=30 requires medical-access verification before treating as decision-grade
DST2-000018,Rishikesh,India,Uttarakhand,infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000020,Mussoorie,India,Uttarakhand,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000021,Nainital,India,Uttarakhand,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000022,Jim Corbett,India,Uttarakhand,infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000026,Sanchi,India,Madhya Pradesh,infant_score=20 requires medical-access verification before treating as decision-grade
DST2-000027,Khajuraho,India,Madhya Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000028,Orchha,India,Madhya Pradesh,infant_score=40 requires medical-access verification before treating as decision-grade
DST2-000029,Pachmarhi,India,Madhya Pradesh,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000030,Kanha,India,Madhya Pradesh,infant_score=0 requires medical-access verification before treating as decision-grade
DST2-000031,Bandhavgarh,India,Madhya Pradesh,infant_score=0 requires medical-access verification before treating as decision-grade
DST2-000035,Mahabaleshwar,India,Maharashtra,infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000037,Aurangabad,India,Maharashtra,heuristic insufficient; manual review required
DST2-000038,Goa,India,Goa,heuristic insufficient; manual review required
DST2-000039,Diu,India,Daman and Diu,infant_score=40 requires medical-access verification before treating as decision-grade
DST2-000041,Kutch,India,Gujarat,heuristic insufficient; manual review required
DST2-000042,Gir,India,Gujarat,infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000043,Dwarka,India,Gujarat,infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000046,Coorg,India,Karnataka,heuristic insufficient; manual review required
DST2-000047,Chikmagalur,India,Karnataka,heuristic insufficient; manual review required
DST2-000048,Hampi,India,Karnataka,infant_score=25 requires medical-access verification before treating as decision-grade
