candidate_id,name,country,macro_region,state_or_area,district_or_area,proposed_location_type,proposed_vibe_1,proposed_vibe_2,proposed_vibe_3,priority_tier,verification_status,notes
CAND-0001,Neemrana,India,North India,Rajasthan,Alwar,heritage_town,heritage,fort,weekend,tier_1,candidate,Delhi/NCR weekend heritage candidate
CAND-0002,Bikaner,India,North India,Rajasthan,Bikaner,heritage_city,heritage,desert,food,tier_1,candidate,Rajasthan heritage expansion
CAND-0003,Mount Abu,India,North India,Rajasthan,Sirohi,hill_station,hills,spiritual,family,tier_1,candidate,Rajasthan hill station candidate
CAND-0004,Chittorgarh,India,North India,Rajasthan,Chittorgarh,fort_town,heritage,fort,history,tier_1,candidate,Major fort/heritage destination
CAND-0005,Kumbhalgarh,India,North India,Rajasthan,Rajsamand,fort_town,heritage,fort,nature,tier_1,candidate,Heritage plus resort candidate
CAND-0006,Bundi,India,North India,Rajasthan,Bundi,heritage_town,heritage,slow_travel,architecture,tier_2,candidate,Smaller Rajasthan heritage town
CAND-0007,Sariska,India,North India,Rajasthan,Alwar,wildlife_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate near NCR
CAND-0008,Alwar,India,North India,Rajasthan,Alwar,heritage_city,heritage,fort,weekend,tier_2,candidate,NCR-accessible heritage candidate
CAND-0009,Ajmer,India,North India,Rajasthan,Ajmer,pilgrim_city,spiritual,culture,heritage,tier_1,candidate,Pilgrimage and Pushkar circuit candidate
CAND-0010,Nawalgarh,India,North India,Rajasthan,Jhunjhunu,heritage_town,heritage,architecture,slow_travel,tier_2,candidate,Shekhawati fresco town candidate
CAND-0011,Mandawa,India,North India,Rajasthan,Jhunjhunu,heritage_town,heritage,architecture,slow_travel,tier_2,candidate,Shekhawati candidate
CAND-0012,Deeg,India,North India,Rajasthan,Bharatpur,heritage_town,palace,heritage,gardens,tier_2,candidate,Bharatpur/Mathura circuit candidate
CAND-0013,Bharatpur,India,North India,Rajasthan,Bharatpur,birding_site,wildlife,birding,nature,tier_1,candidate,Bird sanctuary candidate
CAND-0014,Shekhawati Region,India,North India,Rajasthan,Shekhawati,heritage_region,heritage,architecture,slow_travel,tier_2,candidate,Regional heritage circuit candidate
CAND-0015,Sawai Madhopur,India,North India,Rajasthan,Sawai Madhopur,gateway_city,wildlife,gateway,family,tier_1,candidate,Ranthambore gateway candidate
CAND-0016,Mathura,India,North India,Uttar Pradesh,Mathura,pilgrim_city,spiritual,culture,pilgrimage,tier_1,candidate,Major pilgrimage circuit candidate
CAND-0017,Vrindavan,India,North India,Uttar Pradesh,Mathura,pilgrim_town,spiritual,pilgrimage,culture,tier_1,candidate,Major pilgrimage candidate
